product_id,title,rating,ratings_count,initial_price,final_price,discount,discount_per2,currency,seller_name
22553620,AD By Arvind,0.0,0,1099.0,681.0,418.0,38.0,INR,ARVIND LIMITED
16653678,Levis,4.3,125,3399.0,2719.0,680.0,20.0,INR,Vision Star
16645788,Enviously Young,4.0,9,999.0,399.0,600.0,60.1,INR,Brand Fortunes
16690112,Creeva,0.0,0,2199.0,949.0,1250.0,56.8,INR,SOFTEK SURYA INDIA PVT LTD
18066268,Cantabil,0.0,0,1599.0,559.0,1040.0,65.0,INR,Cantabil Retail India Limited
17963192,SHOWOFF,0.0,0,4375.0,1750.0,2625.0,60.0,INR,SHOWOFF
18068952,Levis,4.5,215,1299.0,740.0,559.0,43.0,INR,Levi Strauss India Pvt Ltd
18067236,LilPicks,3.6,11,899.0,351.0,548.0,61.0,INR,Mensa Brand Technologies Private Limited
21980808,Tokyo Talkies,4.1,103,999.0,399.0,600.0,60.1,INR,Vision Star
15488454,Indian Terrain,4.1,22,2099.0,839.0,1260.0,60.0,INR,Indiflashmart
15551714,Teakwood Leathers,4.4,47,2799.0,2799.0,0.0,0.0,INR,Not Available
15489168,Indian Terrain,4.3,12,2499.0,974.0,1525.0,61.0,INR,Indiflashmart
15518750,HIGHLANDER,3.8,437,949.0,949.0,0.0,0.0,INR,Not Available
21207856,Gini and Jony,0.0,0,699.0,342.0,357.0,51.1,INR,Gini & Jony Ltd
21086854,Calvin Klein Jeans,3.7,67,2799.0,1679.0,1120.0,40.0,INR,Platinum Fashions
21224536,Kibo,0.0,0,1499.0,524.0,975.0,65.0,INR,LUEUR VESTURES PRIVATE LIMITED
21207812,Gini and Jony,0.0,0,499.0,254.0,245.0,49.1,INR,Gini & Jony Ltd
11689070,Teakwood Leathers,4.3,121,1999.0,459.0,1540.0,77.0,INR,TEAKWOOD
11659000,WildHorn,4.3,77,2699.0,566.0,2133.0,79.0,INR,ADL INTERNATIONAL
11755296,Helix,0.0,0,1745.0,872.0,873.0,50.0,INR,TIMEHUT RETAIL (INDIA) PRIVATE LIMITED
17048836,Jockey,3.8,11,1499.0,1499.0,0.0,0.0,INR,Page Industries Ltd
14981504,Daniel Klein,4.3,14,5250.0,3360.0,1890.0,36.0,INR,DESIGNER PROGRESSIVE INDIA LLP
14981492,Daniel Klein,4.5,17,5750.0,2875.0,2875.0,50.0,INR,RetailNet
